Year,Month,CPI,1-Month % Change,12-Month % Change
1970,Jan,37.9,0.5,6.2
1970,Feb,38.1,0.5,6.4
1970,Mar,38.3,0.5,6.1
1970,Apr,38.5,0.5,6.1
1970,May,38.6,0.3,6
1970,Jun,38.8,0.5,6
1970,Jul,38.9,0.3,5.7
1970,Aug,39,0.3,5.7
1970,Sep,39.2,0.5,5.7
1970,Oct,39.4,0.5,5.6
1970,Nov,39.6,0.5,5.6
1970,Dec,39.8,0.5,5.6
1971,Jan,39.9,0.3,5.3
1971,Feb,39.9,0,4.7
1971,Mar,40,0.3,4.4
1971,Apr,40.1,0.3,4.2
1971,May,40.3,0.5,4.4
1971,Jun,40.5,0.5,4.4
1971,Jul,40.6,0.2,4.4
1971,Aug,40.7,0.2,4.4
1971,Sep,40.8,0.2,4.1
1971,Oct,40.9,0.2,3.8
1971,Nov,41,0.2,3.5
1971,Dec,41.1,0.2,3.3
1972,Jan,41.2,0.2,3.3
1972,Feb,41.4,0.5,3.8
1972,Mar,41.4,0,3.5
1972,Apr,41.5,0.2,3.5
1972,May,41.6,0.2,3.2
1972,Jun,41.7,0.2,3
1972,Jul,41.8,0.2,3
1972,Aug,41.9,0.2,2.9
1972,Sep,42.1,0.5,3.2
1972,Oct,42.2,0.2,3.2
1972,Nov,42.4,0.5,3.4
1972,Dec,42.5,0.2,3.4
1973,Jan,42.7,0.5,3.6
1973,Feb,43,0.7,3.9
1973,Mar,43.4,0.9,4.8
1973,Apr,43.7,0.7,5.3
1973,May,43.9,0.5,5.5
1973,Jun,44.2,0.7,6
1973,Jul,44.2,0,5.7
1973,Aug,45,1.8,7.4
1973,Sep,45.2,0.4,7.4
1973,Oct,45.6,0.9,8.1
1973,Nov,45.9,0.7,8.3
1973,Dec,46.3,0.9,8.9
1974,Jan,46.8,1.1,9.6
1974,Feb,47.3,1.1,10
1974,Mar,47.8,1.1,10.1
1974,Apr,48.1,0.6,10.1
1974,May,48.6,1,10.7
1974,Jun,49,0.8,10.9
1974,Jul,49.3,0.6,11.5
1974,Aug,49.9,1.2,10.9
1974,Sep,50.6,1.4,11.9
1974,Oct,51,0.8,11.8
1974,Nov,51.5,1,12.2
1974,Dec,51.9,0.8,12.1
1975,Jan,52.3,0.8,11.8
1975,Feb,52.6,0.6,11.2
1975,Mar,52.8,0.4,10.5
1975,Apr,53,0.4,10.2
1975,May,53.1,0.2,9.3
1975,Jun,53.5,0.8,9.2
1975,Jul,54,0.9,9.5
1975,Aug,54.2,0.4,8.6
1975,Sep,54.6,0.7,7.9
1975,Oct,54.9,0.5,7.6
1975,Nov,55.3,0.7,7.4
1975,Dec,55.6,0.5,7.1
1976,Jan,55.8,0.4,6.7
1976,Feb,55.9,0.2,6.3
1976,Mar,56,0.2,6.1
1976,Apr,56.1,0.2,5.8
1976,May,56.4,0.5,6.2
1976,Jun,56.7,0.5,6
1976,Jul,57,0.5,5.6
1976,Aug,57.3,0.5,5.7
1976,Sep,57.6,0.5,5.5
1976,Oct,57.9,0.5,5.5
1976,Nov,58.1,0.3,5.1
1976,Dec,58.4,0.5,5
1977,Jan,58.7,0.5,5.2
1977,Feb,59.3,1,6.1
1977,Mar,59.6,0.5,6.4
1977,Apr,60,0.7,7
1977,May,60.2,0.3,6.7
1977,Jun,60.5,0.5,6.7
