Date,Money_Stock,T_Bill_DA,Interbank_DA,PCE,UnRate,PPI,PPM,T10Y3M,CrudeOil,Deposits,IndPro,RealBrdExRate,ConsumSent,FedSurDef,USDtoEuro,WageSal
1/1/2010,8458.1,0.005,0.016666667,10056.1,9.8,181.9,0.10686049,3.671578947,78.32578947,-2.6,89.1911,84.38,74.4,-42634,1.426573684,6246.2
2/1/2010,8507.4,0.009166667,0.015833333,10093.4,9.8,181,0.23698511,3.582105263,76.38736842,3.9,89.4972,85.16,73.6,-220909,1.367994737,6211.2
3/1/2010,8504.5,0.0125,0.019166667,10156,9.9,183.3,0.03552693,3.576956522,81.20347826,-1.3,90.1419,84.68,73.6,-65387,1.357004348,6242.4
4/1/2010,8535.2,0.013333333,0.025,10182.3,9.9,184.4,0.30909588,3.684545455,84.29285714,-0.9,90.4591,84.22,72.2,-82689,1.341681818,6315.6
5/1/2010,8589.9,0.013333333,0.0375,10210.8,9.6,184.8,0.37544285,3.26,73.7435,-3.2,91.702,86.74,73.6,-135927,1.256315,6384
6/1/2010,8609,0.01,0.043333333,10231.3,9.4,183.5,0.10307557,3.080454545,75.33590909,1.8,91.8997,87.36,76,-68422,1.222336364,6382.5
7/1/2010,8618.8,0.013333333,0.034166667,10268.1,9.4,184.1,0.01314816,2.853809524,76.31952381,4.9,92.2522,85.85,67.8,-165043,1.281057143,6410.2
8/1/2010,8669.1,0.013333333,0.026666667,10307.1,9.5,184.9,0.0299084,2.543636364,76.59909091,7,92.5899,84.96,68.9,-90526,1.290290909,6427.8
9/1/2010,8700.1,0.0125,0.023333333,10327.1,9.5,184.9,0.04464736,2.495714286,75.24190476,3.7,92.8564,83.95,68.2,-34607,1.310285714,6429.5
10/1/2010,8749.4,0.010833333,0.0225,10386.4,9.4,186.6,0.02248493,2.4055,81.89285714,6.7,92.6037,81.26,67.7,-140432,1.390095,6458.3
11/1/2010,8770,0.011666667,0.0225,10433.6,9.8,187.7,0.06062855,2.62,84.25285714,7.1,92.6773,81.21,71.6,-150394,1.365425,6461.6
12/1/2010,8801.8,0.011666667,0.025,10471,9.3,189.7,0.02190293,3.15,89.14590909,-2.4,93.5851,81.7,74.5,-78134,1.322133333,6500.9
1/1/2011,8823.1,0.0125,0.024166667,10514.3,9.1,192.7,0.05353352,3.242,89.1705,3.7,93.3944,80.91,74.2,-49796,1.337065,6553.2
2/1/2011,8886.9,0.010833333,0.023333333,10540.6,9,195.8,0.10127646,3.444210526,88.57842105,6.4,92.993,80.24,77.5,-222507,1.365589474,6586.6
